Region,Local_date,Time zone,DF,D,NG,TI,Sum (NG),NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,Sum (Trade),Sum (Imports),Sum (Exports),CAN,MEX,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,Positive Gen from COL,Positive Gen from NG,Positive Gen from OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
US48,09Sep2015,Eastern,"12,564,620","12,815,698","12,614,476","-144,707",,,,,,,,,,,"-166,549","168,131","1,582","-168,126","1,577",,,,,,,,,,,,,,,,,,
US48,10Sep2015,Eastern,"12,204,994","12,312,162","12,078,686","-130,704",,,,,,,,,,,"-155,645","158,190","2,545","-156,941","1,296",,,,,,,,,,,,,,,,,,
US48,11Sep2015,Eastern,"11,551,798","11,622,724","11,383,647","-119,254",,,,,,,,,,,"-147,287","148,650","1,363","-148,432","1,145",,,,,,,,,,,,,,,,,,
US48,12Sep2015,Eastern,"10,273,213","10,339,461","10,152,930","-146,188",,,,,,,,,,,"-162,387","163,533","1,146","-163,450","1,063",,,,,,,,,,,,,,,,,,
US48,13Sep2015,Eastern,"9,672,388","9,809,403","9,613,386","-133,020",,,,,,,,,,,"-145,383","146,984","1,601","-145,196",-187,,,,,,,,,,,,,,,,,,
US48,14Sep2015,Eastern,"10,531,340","10,630,262","10,456,289","-78,245",,,,,,,,,,,"-123,267","126,428","3,161","-123,712",445,,,,,,,,,,,,,,,,,,
US48,15Sep2015,Eastern,"10,786,480","11,074,280","10,842,370","-120,238",,,,,,,,,,,"-103,211","112,364","9,153","-103,513",302,,,,,,,,,,,,,,,,,,
US48,16Sep2015,Eastern,"11,038,573","11,330,234","11,111,611","-73,619",,,,,,,,,,,"-114,842","123,833","8,991","-115,158",316,,,,,,,,,,,,,,,,,,
US48,17Sep2015,Eastern,"11,358,202","11,561,532","11,356,431","-94,750",,,,,,,,,,,"-129,520","137,505","7,985","-128,922",-598,,,,,,,,,,,,,,,,,,
US48,18Sep2015,Eastern,"11,365,790","11,473,975","11,292,327","-95,418",,,,,,,,,,,"-144,769","148,399","3,630","-144,606",-163,,,,,,,,,,,,,,,,,,
US48,19Sep2015,Eastern,"10,558,143","10,669,387","10,466,499","-144,388",,,,,,,,,,,"-165,622","167,261","1,639","-166,071",449,,,,,,,,,,,,,,,,,,
US48,20Sep2015,Eastern,"10,256,372","10,301,123","10,109,875","-152,741",,,,,,,,,,,"-165,756","167,332","1,576","-166,302",546,,,,,,,,,,,,,,,,,,
US48,21Sep2015,Eastern,"10,952,710","10,940,841","10,742,299","-134,203",,,,,,,,,,,"-150,020","152,315","2,295","-150,035",15,,,,,,,,,,,,,,,,,,
US48,22Sep2015,Eastern,"10,962,541","10,992,723","10,791,199","-123,744",,,,,,,,,,,"-137,326","146,323","8,997","-138,969","1,643",,,,,,,,,,,,,,,,,,
US48,23Sep2015,Eastern,"10,939,800","11,009,033","10,801,416","-80,190",,,,,,,,,,,"-118,379","120,795","2,416","-119,732","1,353",,,,,,,,,,,,,,,,,,
US48,24Sep2015,Eastern,"10,941,416","10,982,966","10,816,502","-73,440",,,,,,,,,,,"-110,427","115,838","5,411","-112,958","2,531",,,,,,,,,,,,,,,,,,
US48,25Sep2015,Eastern,"10,768,947","10,838,892","10,671,642","-81,845",,,,,,,,,,,"-124,317","136,408","12,091","-127,358","3,041",,,,,,,,,,,,,,,,,,
US48,26Sep2015,Eastern,"9,968,383","10,059,888","9,881,819","-100,992",,,,,,,,,,,"-142,241","148,919","6,678","-146,580","4,339",,,,,,,,,,,,,,,,,,
US48,27Sep2015,Eastern,"9,805,067","9,846,547","9,680,545","-95,077",,,,,,,,,,,"-137,739","146,302","8,563","-142,227","4,488",,,,,,,,,,,,,,,,,,
US48,28Sep2015,Eastern,"10,855,231","11,018,809","10,833,555","-104,071",,,,,,,,,,,"-139,071","148,607","9,536","-145,291","6,220",,,,,,,,,,,,,,,,,,
US48,29Sep2015,Eastern,"11,041,132","11,225,201","11,057,194","-142,846",,,,,,,,,,,"-148,379","153,180","4,801","-152,883","4,504",,,,,,,,,,,,,,,,,,
US48,30Sep2015,Eastern,"10,945,606","11,100,111","10,902,774","-178,604",,,,,,,,,,,"-161,770","165,030","3,260","-164,938","3,168",,,,,,,,,,,,,,,,,,
US48,01Oct2015,Eastern,"10,468,324","10,435,177","10,255,255","-131,767",,,,,,,,,,,"-158,082","161,816","3,734","-161,816","3,734",,,,,,,,,,,,,,,,,,
